Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
9,2022,192,935,279,73,429.0,450.1510857478853,1287.0,0,-1.0,-1.8369701987210297e-16,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,19.623655913978496,62.70967741935484,27.07204301075269,34.795698924731184,3.9366666666666665,0.0,0.0,0,59.3564516129032,11.178397849462362
10,2022,169,192,935,279,468.6666666666667,406.19248310786514,1406.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,14.71888888888889,62.86666666666667,21.87,34.522222222222226,2.794666666666666,0.0,0.0,0,72.4521505376344,12.152483870967739
11,2022,15,169,192,935,432.0,435.7625500200769,1296.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,9.849462365591398,67.13978494623656,15.419354838709678,42.56989247311828,1.5929032258064515,0.0,0.0,0,74.33881720430105,11.200150537634403
12,2022,1,15,169,192,125.33333333333333,96.24101689681713,376.0,0,-2.4492935982947064e-16,1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-4.906666666666666,75.15555555555555,-1.096666666666667,59.75555555555556,0.451,-0.0,0.0,0,64.36139784946235,8.32423655913978
4,1990,39,,,,,,,0,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-6.825806451612903,72.61290322580645,-1.8591397849462368,55.66666666666667,0.8989247311827957,-0.0,0.0,,-29.309447004608295,0.459758064516129
5,1990,71,39,,,,,,0,0.49999999999999994,-0.8660254037844387,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-1.9733333333333327,69.08888888888889,3.901111111111111,49.21111111111111,1.6153333333333333,0.0,0.0,0,-31.16858678955453,1.3586827956989247
6,1990,85,71,39,,,,,1,1.2246467991473532e-16,-1.0,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,7.699999999999999,61.473118279569896,14.404301075268815,36.72043010752688,3.37989247311828,14.404301075268815,0.08960376282782213,71,-12.888981054787505,2.8184247311827955
7,1990,90,85,71,39,65.0,23.57965224510319,195.0,1,-0.4999999999999997,-0.8660254037844388,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,15.37111111111111,67.63333333333334,21.425555555555555,42.13333333333333,3.7848888888888887,21.425555555555555,0.08774858320453374,85,16.44627240143369,5.89415053763441
8,1990,176,90,85,71,82.0,9.848857801796104,246.0,1,-0.8660254037844385,-0.5000000000000004,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,17.913978494623656,69.1505376344086,22.706451612903223,45.62365591397849,3.865376344086021,22.706451612903223,0.0829059040590406,90,39.73096774193548,8.780114695340503
9,1990,51,176,90,85,117.0,51.15662224971465,351.0,0,-1.0,-1.8369701987210297e-16,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,18.02795698924731,65.68817204301075,23.368817204301077,41.61290322580645,3.636451612903226,0.0,0.0,0,58.53630824372759,11.03015770609319
